NOMBRE_PRO,DESCR_PRO,TIEMPO
Martillo,Martillo de acero con mango de madera.,2024-04-16 20:43:54
Destornillador,Destornillador Phillips de punta magnética.,2024-04-16 20:43:54
Sierra Circular,Sierra circular de 7.25 pulgadas.,2024-04-16 20:43:54
Clavos,Clavos de acero galvanizadode 2 pulgadas 100 unidades.,2024-04-16 20:43:54
Llave Inglesa,Llave inglesa ajustable de 10 pulgadas.,2024-04-16 20:43:54
Pintura Blanca,Pintura látex blanca de 20lts.,2024-04-16 20:43:54
Cinta Métrica,Cinta métrica de 25 pies.,2024-04-16 20:43:54
Tornillos,Tornillos de acero inoxidable paquete de 50 unidades.,2024-04-16 20:43:54
Cepillo Metálico,Cepillo de alambre de acero.,2024-04-16 20:43:54
Nivel de Burbuja,Nivel de burbuja magnético de 9 pulgadas.,2024-04-16 20:43:54
