CUIT_PROV,NOMBRE_PROV,DIREC_PROV,TEL_PROV
50-12345678-1,Bahco,Calle 123 - CABA,123-456789
50-87654321-2,Skill,Avenida XYZ - CABA,987-654321
50-13579246-3,Gherardi,Calle Principal - La Plata,321-654987
50-24681357-4,Herrametal,Avenida Central - CABA,555-123456
50-31472586-5,El Abuelo,Calle Secundaria - CABA,777-987654
50-36925814-6,Black and Decker,Avenida Norte - Cordoba,888-456123
50-75316982-7,Cortamax,Calle Sur - CABA,999-789456
50-85274163-8,Stanley,Calle Este - CABA,111-321654
50-96135724-9,Poxipol,Calle Oeste - La Plata,222-654987
50-54823697-0,Aliafor,Avenida Poniente - Rosario,333-987654
